,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
73,male,0,yes,yes,62,yes,yes,no,no,no,no,no,no,no,two year,yes,bank transfer,24.25,1424.6,no
74,female,0,no,yes,3,yes,no,dsl,yes,no,no,yes,no,yes,month,yes,bank transfer,64.5,177.4,no
75,female,1,no,no,56,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,no,electronic,110.5,6139.5,no
76,female,0,no,no,46,yes,no,dsl,no,no,no,no,no,yes,one year,no,credit card,55.65,2688.85,no
77,female,0,yes,yes,8,yes,no,dsl,yes,yes,no,no,no,no,month,no,mailed,54.65,482.25,no
78,male,1,no,no,30,yes,no,dsl,yes,yes,no,no,yes,yes,month,yes,electronic,74.75,2111.3,no
79,female,0,yes,yes,45,yes,yes,no,no,no,no,no,no,no,one year,yes,credit card,25.9,1216.6,no
80,female,0,no,yes,1,yes,no,fiber optic,no,no,no,no,yes,no,month,yes,electronic,79.35,79.35,yes
81,female,0,yes,yes,11,no,no,dsl,yes,no,no,no,yes,yes,month,no,electronic,50.55,565.35,no
82,female,0,yes,no,7,yes,no,fiber optic,no,no,yes,no,no,no,month,yes,bank transfer,75.15,496.9,yes
83,female,0,no,no,42,yes,no,fiber optic,no,yes,yes,yes,yes,yes,month,yes,bank transfer,103.8,4327.5,no
84,female,0,yes,no,49,yes,no,no,no,no,no,no,no,no,two year,yes,bank transfer,20.15,973.35,no
85,male,0,no,no,9,yes,yes,fiber optic,no,yes,no,no,yes,yes,month,yes,credit card,99.3,918.75,no
86,female,0,yes,no,35,yes,no,dsl,yes,no,no,no,yes,no,one year,yes,bank transfer,62.15,2215.45,no
87,female,0,yes,yes,48,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,20.65,1057.0,no
88,female,0,yes,yes,46,yes,no,no,no,no,no,no,no,no,two year,yes,mailed,19.95,927.1,no
89,male,0,yes,no,29,no,no,dsl,no,no,no,no,yes,no,month,no,mailed,33.75,1009.25,no
90,male,0,yes,yes,30,yes,no,fiber optic,no,yes,yes,no,no,no,month,no,bank transfer,82.05,2570.2,no
91,male,1,no,no,1,yes,no,fiber optic,no,no,no,yes,no,no,month,no,electronic,74.7,74.7,no
92,male,0,yes,yes,66,yes,yes,dsl,yes,no,yes,yes,yes,yes,two year,yes,mailed,84.0,5714.25,no
93,female,0,no,no,65,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,month,yes,credit card,111.05,7107.0,no
94,male,0,no,no,72,yes,yes,fiber optic,no,yes,yes,no,yes,yes,two year,yes,bank transfer,100.9,7459.05,no
95,female,0,no,no,12,yes,yes,fiber optic,yes,no,no,no,no,no,month,yes,electronic,78.95,927.35,yes
96,male,0,yes,yes,71,yes,yes,dsl,yes,yes,no,yes,no,no,one year,yes,credit card,66.85,4748.7,no
97,male,0,no,no,5,yes,no,no,no,no,no,no,no,no,month,no,mailed,21.05,113.85,yes
98,male,0,no,no,52,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,21.0,1107.2,no
99,female,1,yes,no,25,yes,no,fiber optic,no,yes,yes,no,yes,yes,month,yes,electronic,98.5,2514.5,yes
100,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,mailed,20.2,20.2,no
101,female,0,yes,yes,1,yes,no,no,no,no,no,no,no,no,month,no,electronic,19.45,19.45,no
102,male,0,no,no,38,yes,yes,fiber optic,no,no,yes,yes,yes,no,one year,no,bank transfer,95.0,3605.6,no
103,female,1,yes,no,66,no,no,dsl,no,yes,yes,no,yes,no,one year,no,bank transfer,45.55,3027.25,no
104,male,0,yes,no,68,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer,110.0,7611.85,yes
105,male,0,no,no,5,no,no,dsl,no,no,no,no,no,no,month,no,mailed,24.3,100.2,no
106,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,no,no,yes,yes,one year,yes,electronic,104.15,7303.05,no
107,female,0,no,no,32,no,no,dsl,yes,no,no,no,no,no,one year,no,mailed,30.15,927.65,no
108,male,0,no,no,43,yes,yes,fiber optic,no,no,no,no,yes,yes,one year,no,mailed,94.35,3921.3,no
109,male,0,yes,yes,72,yes,no,no,no,no,no,no,no,no,two year,no,credit card,19.4,1363.25,no
110,male,0,yes,no,55,yes,yes,fiber optic,yes,yes,no,no,yes,no,month,yes,electronic,96.75,5238.9,yes
111,female,0,no,no,52,yes,no,dsl,yes,no,yes,yes,no,no,one year,no,credit card,57.95,3042.25,no
112,female,0,no,no,43,yes,no,fiber optic,no,yes,yes,no,yes,no,month,yes,electronic,91.65,3954.1,no
113,female,1,yes,no,37,yes,yes,fiber optic,no,no,no,no,no,no,month,yes,electronic,76.5,2868.15,yes
114,female,0,yes,yes,64,no,no,dsl,no,yes,no,yes,yes,yes,two year,yes,electronic,54.6,3423.5,no
115,male,0,yes,yes,3,yes,no,fiber optic,yes,yes,no,no,yes,no,month,no,electronic,89.85,248.4,no
116,female,0,no,no,36,no,no,dsl,yes,no,no,no,no,no,two year,no,bank transfer,31.05,1126.35,no
117,female,0,yes,yes,10,yes,yes,fiber optic,yes,no,no,no,yes,yes,month,yes,electronic,100.25,1064.65,yes
118,female,0,no,no,41,yes,no,no,no,no,no,no,no,no,two year,no,mailed,20.65,835.15,no
119,male,0,yes,yes,27,yes,yes,fiber optic,no,yes,no,yes,no,no,month,yes,credit card,85.2,2151.6,no
120,female,0,yes,yes,56,yes,yes,fiber optic,no,no,yes,no,yes,yes,one year,yes,credit card,99.8,5515.45,no
121,female,0,no,no,6,yes,no,no,no,no,no,no,no,no,month,no,mailed,20.7,112.75,no
122,male,0,no,no,3,yes,yes,fiber optic,no,no,no,no,no,no,month,yes,electronic,74.4,229.55,yes
123,female,0,yes,yes,7,yes,no,dsl,yes,no,no,no,no,no,month,no,mailed,50.7,350.35,no
124,female,0,yes,yes,4,yes,no,no,no,no,no,no,no,no,month,no,mailed,20.85,62.9,no
125,male,0,no,no,33,yes,no,fiber optic,yes,no,no,yes,yes,no,two year,yes,electronic,88.95,3027.65,no
126,female,1,no,no,27,yes,yes,fiber optic,no,no,yes,no,no,no,month,yes,electronic,78.05,2135.5,yes
127,male,0,yes,no,72,yes,yes,no,no,no,no,no,no,no,two year,yes,bank transfer,23.55,1723.95,no
128,male,0,no,no,1,yes,no,no,no,no,no,no,no,no,month,no,mailed,19.75,19.75,no
129,male,1,no,no,71,no,no,dsl,yes,yes,no,no,yes,yes,one year,yes,electronic,56.45,3985.35,no
130,female,0,no,no,13,yes,yes,fiber optic,no,no,no,no,no,yes,month,yes,electronic,85.95,1215.65,no
131,female,0,yes,yes,25,no,no,dsl,yes,yes,yes,no,yes,yes,month,yes,credit card,58.6,1502.65,yes
132,male,0,no,no,67,yes,no,dsl,no,no,no,yes,no,no,two year,no,bank transfer,50.55,3260.1,no
133,male,0,no,no,1,no,no,dsl,no,no,no,no,no,yes,month,yes,electronic,35.45,35.45,yes
134,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month,no,electronic,44.35,81.25,yes
135,female,0,no,no,43,yes,yes,no,no,no,no,no,no,no,two year,yes,credit card,25.7,1188.2,no
136,female,0,no,no,23,yes,no,fiber optic,yes,no,no,no,no,no,month,yes,bank transfer,75.0,1778.5,no
137,female,0,yes,yes,64,yes,no,no,no,no,no,no,no,no,two year,no,mailed,20.2,1277.75,no
138,male,0,no,yes,57,yes,no,no,no,no,no,no,no,no,two year,yes,mailed,19.6,1170.55,no
139,female,1,yes,no,1,yes,no,fiber optic,no,no,no,no,no,no,month,yes,mailed,70.45,70.45,yes
140,female,1,yes,yes,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,credit card,88.05,6425.65,no
141,female,0,no,no,8,yes,yes,dsl,yes,no,no,yes,no,yes,month,no,electronic,71.15,563.65,yes
142,female,0,yes,no,61,yes,yes,fiber optic,no,yes,no,no,yes,yes,two year,yes,bank transfer,101.05,5971.25,no
143,male,0,no,no,64,yes,yes,fiber optic,yes,yes,no,no,no,no,one year,yes,credit card,84.3,5289.05,no
144,male,1,yes,no,71,yes,yes,no,no,no,no,no,no,no,two year,no,bank transfer,23.95,1756.2,no
145,female,0,yes,yes,65,yes,yes,fiber optic,yes,yes,no,yes,yes,no,two year,yes,credit card,99.05,6416.7,no
146,male,0,no,no,3,yes,no,no,no,no,no,no,no,no,one year,no,mailed,19.6,61.35,no
147,male,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month,yes,electronic,45.65,45.65,yes
148,male,0,no,yes,30,yes,no,dsl,no,yes,yes,no,yes,no,one year,no,credit card,64.5,1929.95,no
149,male,0,yes,yes,15,yes,no,dsl,no,yes,yes,yes,no,yes,month,yes,mailed,69.5,1071.4,no
150,female,0,yes,yes,8,yes,no,dsl,no,no,no,yes,yes,yes,month,yes,electronic,68.55,564.35,no
151,male,0,no,no,7,yes,yes,fiber optic,no,no,no,no,yes,yes,month,no,mailed,95.0,655.5,yes
152,female,0,yes,yes,70,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,one year,yes,credit card,108.15,7930.55,no
153,male,0,yes,yes,62,yes,no,dsl,yes,yes,yes,yes,yes,yes,two year,no,electronic,86.1,5215.25,no
154,female,0,yes,yes,6,yes,no,no,no,no,no,no,no,no,month,no,mailed,19.7,113.5,no
155,female,0,yes,yes,14,yes,no,fiber optic,no,no,no,no,no,yes,month,yes,bank transfer,80.9,1152.8,no
156,female,0,no,no,22,yes,yes,fiber optic,no,no,no,no,yes,no,month,yes,bank transfer,84.15,1821.95,no
157,male,0,yes,yes,22,yes,no,no,no,no,no,no,no,no,one year,no,mailed,20.15,419.9,no
158,male,0,yes,yes,16,yes,no,dsl,yes,no,yes,no,yes,no,two year,no,mailed,64.25,1024.0,no
159,male,0,no,no,10,yes,yes,no,no,no,no,no,no,no,two year,no,bank transfer,25.7,251.6,no
160,female,0,no,yes,13,yes,no,dsl,yes,yes,no,no,no,no,month,yes,electronic,56.0,764.55,no
161,female,0,yes,no,20,yes,yes,fiber optic,yes,no,no,no,no,no,month,no,electronic,82.4,1592.35,yes
162,female,0,no,no,2,yes,no,fiber optic,no,no,no,no,no,no,month,yes,electronic,69.7,135.2,no
163,male,0,no,no,53,yes,yes,dsl,no,yes,yes,yes,no,yes,two year,yes,bank transfer,73.9,3958.25,no
164,female,0,yes,yes,11,yes,no,no,no,no,no,no,no,no,one year,no,mailed,20.6,233.9,no
165,male,0,yes,no,69,yes,no,no,no,no,no,no,no,no,two year,no,mailed,19.9,1363.45,no
166,female,0,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month,yes,bank transfer,70.9,273.0,yes
167,male,0,yes,no,72,yes,yes,dsl,yes,yes,yes,yes,yes,yes,two year,yes,bank transfer,89.05,6254.45,no
168,male,1,yes,no,58,no,no,dsl,no,yes,yes,no,no,yes,month,yes,electronic,45.3,2651.2,yes
169,female,0,yes,yes,16,yes,no,no,no,no,no,no,no,no,month,no,electronic,20.4,321.4,no
170,male,0,yes,no,43,yes,no,fiber optic,yes,no,yes,yes,no,no,one year,yes,bank transfer,84.25,3539.25,no
171,female,0,yes,no,2,yes,yes,fiber optic,no,no,yes,yes,yes,yes,month,yes,electronic,104.4,242.8,yes
172,male,0,yes,no,14,yes,no,dsl,no,yes,yes,yes,yes,yes,two year,no,mailed,81.95,1181.75,no
173,female,0,yes,no,53,yes,no,fiber optic,no,no,yes,no,yes,yes,one year,yes,bank transfer,94.85,5000.2,yes
174,female,0,no,no,32,yes,no,no,no,no,no,no,no,no,one year,no,bank transfer,20.55,654.55,no
175,female,0,yes,no,34,yes,yes,no,no,no,no,no,no,no,month,no,electronic,24.7,780.2,no
176,female,1,no,no,15,yes,yes,fiber optic,no,no,no,no,no,no,month,yes,mailed,74.45,1145.7,yes
177,female,1,no,no,7,yes,no,fiber optic,yes,no,no,no,no,no,month,no,bank transfer,76.45,503.6,yes
178,female,0,yes,yes,15,yes,yes,fiber optic,no,yes,yes,no,yes,yes,month,yes,bank transfer,105.35,1559.25,no
179,male,0,yes,no,61,yes,no,no,no,no,no,no,no,no,one year,yes,credit card,20.55,1252.0,no
180,female,0,no,no,1,no,no,dsl,no,yes,no,no,no,no,month,no,bank transfer,29.95,29.95,yes
181,female,0,no,no,1,yes,no,dsl,no,no,no,no,no,no,month,no,mailed,45.3,45.3,no
182,male,0,no,no,8,yes,yes,fiber optic,no,no,no,no,no,yes,month,no,bank transfer,84.5,662.65,yes
183,male,0,yes,yes,33,yes,no,dsl,yes,no,yes,no,yes,yes,one year,no,credit card,74.75,2453.3,no
184,female,0,no,no,13,yes,no,fiber optic,no,yes,yes,no,no,no,month,yes,electronic,79.25,1111.65,yes
185,female,0,yes,no,1,no,no,dsl,no,no,no,no,no,no,month,yes,electronic,24.8,24.8,yes
186,male,0,no,no,20,yes,no,dsl,no,yes,no,no,no,no,month,yes,mailed,51.8,1023.85,no
187,male,0,no,no,3,no,no,dsl,no,no,no,yes,no,no,month,no,electronic,30.4,82.15,no
188,female,0,no,no,13,yes,no,no,no,no,no,no,no,no,one year,no,electronic,19.65,244.8,no
189,female,0,yes,no,40,yes,yes,dsl,no,yes,no,no,no,no,month,no,credit card,56.6,2379.1,no
190,male,0,yes,yes,43,yes,yes,dsl,yes,no,no,yes,no,yes,one year,yes,credit card,71.9,3173.35,no
191,male,0,yes,no,6,yes,no,fiber optic,no,yes,yes,no,no,yes,month,yes,electronic,91.0,531.0,yes
192,female,0,yes,yes,69,yes,no,no,no,no,no,no,no,no,two year,no,bank transfer,19.75,1375.4,no
193,female,0,yes,yes,72,yes,yes,fiber optic,yes,yes,yes,no,yes,yes,two year,no,credit card,109.7,8129.3,no
194,male,0,yes,yes,59,yes,no,no,no,no,no,no,no,no,two year,no,credit card,19.3,1192.7,no
195,female,0,yes,no,20,yes,no,fiber optic,yes,yes,no,yes,yes,no,month,yes,electronic,96.55,1901.65,no
196,male,0,yes,yes,24,yes,yes,no,no,no,no,no,no,no,two year,yes,bank transfer,24.1,587.4,no
197,male,0,no,no,59,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,month,yes,electronic,111.35,6519.75,no
198,male,0,yes,yes,72,yes,yes,fiber optic,no,yes,yes,yes,yes,yes,two year,yes,bank transfer,112.25,8041.65,no
199,male,0,no,yes,1,yes,no,no,no,no,no,no,no,no,month,no,mailed,20.75,20.75,no
200,female,0,yes,no,27,yes,no,fiber optic,yes,no,no,yes,yes,yes,one year,yes,credit card,101.9,2681.15,no
201,female,0,no,no,14,yes,no,fiber optic,no,yes,no,yes,no,no,month,yes,credit card,80.05,1112.3,no
202,male,0,yes,yes,71,yes,yes,fiber optic,yes,no,yes,no,yes,yes,two year,no,electronic,105.55,7405.5,no
203,male,0,no,yes,13,yes,no,fiber optic,no,no,no,no,yes,no,month,yes,credit card,78.3,1033.95,no
204,male,0,no,no,44,yes,no,fiber optic,no,no,no,no,no,no,month,no,credit card,68.85,2958.95,no
205,female,0,no,no,33,yes,no,fiber optic,no,yes,no,yes,no,no,one year,yes,bank transfer,79.95,2684.85,no
206,male,0,yes,yes,72,no,no,dsl,yes,yes,yes,yes,no,yes,two year,yes,credit card,55.45,4179.2,no
207,male,0,no,no,1,yes,no,fiber optic,no,no,no,no,no,yes,month,no,electronic,79.9,79.9,yes
208,female,0,no,no,19,yes,no,fiber optic,yes,no,yes,yes,yes,yes,month,yes,electronic,106.6,1934.45,yes
209,male,0,yes,no,64,yes,no,fiber optic,no,yes,yes,yes,yes,yes,one year,yes,credit card,102.45,6654.1,no
210,male,0,no,no,2,yes,no,dsl,no,no,no,no,no,no,month,yes,credit card,46.0,84.5,yes
211,female,0,no,no,1,no,no,dsl,no,no,no,no,no,no,month,no,electronic,25.25,25.25,no
212,male,0,no,yes,61,yes,no,no,no,no,no,no,no,no,two year,no,mailed,19.75,1124.2,no
213,female,0,yes,yes,29,yes,no,no,no,no,no,no,no,no,one year,no,electronic,20.0,540.05,no
214,male,1,yes,no,23,yes,yes,fiber optic,no,no,no,no,no,yes,month,no,electronic,86.8,1975.85,no
215,female,0,yes,no,57,no,no,dsl,yes,yes,yes,no,yes,yes,month,yes,bank transfer,58.75,3437.45,no
216,male,0,yes,yes,72,no,no,dsl,yes,yes,yes,yes,no,no,two year,no,credit card,45.25,3139.8,no
217,male,0,yes,no,66,no,no,dsl,yes,yes,yes,yes,yes,no,two year,yes,bank transfer,56.6,3789.2,no
218,male,0,yes,yes,65,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,yes,bank transfer,84.2,5324.5,no
219,female,0,no,no,8,yes,no,fiber optic,no,no,no,no,yes,no,month,yes,bank transfer,80.0,624.6,no
220,female,0,no,no,4,yes,no,fiber optic,no,no,no,no,no,no,month,yes,electronic,70.15,268.35,yes
221,female,0,yes,no,71,yes,yes,no,no,no,no,no,no,no,two year,no,bank transfer,24.75,1836.9,no
222,male,0,yes,yes,1,yes,no,no,no,no,no,no,no,no,one year,yes,electronic,20.2,20.2,no
223,male,0,yes,no,4,yes,no,dsl,no,no,no,yes,no,no,month,no,mailed,50.05,179.35,yes
224,female,0,no,no,12,yes,no,no,no,no,no,no,no,no,one year,yes,bank transfer,19.35,219.35,no
225,male,0,no,no,24,no,no,dsl,yes,no,no,no,yes,yes,one year,yes,mailed,50.6,1288.75,no
226,female,0,yes,yes,31,yes,no,dsl,yes,no,yes,yes,yes,yes,one year,yes,mailed,81.15,2545.75,no
227,female,0,yes,no,1,yes,no,dsl,no,no,no,no,yes,no,month,no,mailed,55.2,55.2,yes
228,male,0,no,no,30,yes,yes,fiber optic,no,no,no,yes,no,yes,month,yes,credit card,89.9,2723.15,no
229,female,0,yes,yes,47,yes,yes,dsl,yes,yes,no,yes,yes,yes,two year,yes,credit card,85.3,4107.25,no
230,male,0,no,no,54,yes,yes,fiber optic,yes,yes,no,yes,yes,yes,two year,yes,credit card,108.0,5760.65,no
231,male,0,no,no,50,yes,no,fiber optic,yes,yes,no,yes,no,yes,month,yes,credit card,93.5,4747.5,no
232,male,0,no,no,1,yes,no,fiber optic,yes,no,no,no,no,yes,month,yes,mailed,84.6,84.6,yes
233,female,0,no,no,72,yes,no,no,no,no,no,no,no,no,two year,no,credit card,20.25,1566.9,no
234,female,0,no,no,29,yes,yes,no,no,no,no,no,no,no,month,no,electronic,25.15,702.0,no
235,male,0,no,no,2,yes,yes,dsl,no,yes,no,no,no,no,month,yes,mailed,54.4,114.1,yes
236,female,0,no,no,10,no,no,dsl,no,no,no,yes,no,no,two year,yes,mailed,29.6,299.05,no
237,male,0,yes,no,18,yes,yes,fiber optic,no,no,no,no,no,no,month,yes,electronic,73.15,1305.95,no
238,female,1,no,no,11,yes,no,fiber optic,no,yes,no,no,yes,yes,month,yes,electronic,95.0,1120.3,yes
239,male,0,no,no,16,yes,no,no,no,no,no,no,no,no,two year,no,mailed,19.75,284.35,no
240,female,0,no,no,72,yes,yes,dsl,no,yes,yes,yes,yes,yes,two year,no,bank transfer,86.6,6350.5,no
